sequence,value
Apply-UpdateFlow-FeedbackSend-NotificationProfileViews-ProfileViews-Edit-end,1
Apply-GCMOpened-ViewSimilarJobs-end,2
Apply-Search-CareerPlusAdClick-end,1
Apply-UpdateFlowSkip-UpdateFlow-Edit-end,5
Apply-ViewSimilarJobs-Add-Edit-end,1
Apply-Notification-NotificationJobAlert-GCMOpened-end,5
Apply-UpdateFlowSkip-Edit-Search-ViewSimilarJobs-end,2
Apply-Notification-NotificationRecruiterMail-NotificationProfileViews-ProfileViews-NotificationJobAlert-end,1
Apply-Notification-NotificationJobAlert-RateApp-NotificationRecruiterMail-end,1
Apply-RateApp-ProfileViews-Edit-Delete-end,1
Apply-ProfileViews-NotificationProfileViews-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-end,104
Apply-Add-Edit-end,3
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-CareerPlusAdClick-end,1
Apply-UpdateFlow-Notification-NotificationJobAlert-NotificationProfileViews-ProfileViews-end,1
